pan ID	D39	D39V	EF3030	Hungary19A-6	TIGR4	670-6B	6A-10	70585	A026	A66	AP200	ASP0581	ATCC 49619	ATCC 700669	BM6001	BVJ1JL	CGSP14	G54	gamPNI0373	HU-OH	Hu15	Hu17	INV104	INV200	JJA	MDRSPN001	NCTC7465	NCTC7466	NU83127	OXC141	P1031	R6	SP49	SPN032672	SPN034156	SPN034183	SPN994038	SPN994039	SPNA45	ST556	Taiwan19F-14	TCH8431/19A	Xen35
PNEUPAN001288000	SPD_RS02175	SPV_RS02175	EF3030_RS02165	SPH_RS02670	SP_RS02180	SP670_RS02590	HKM25_RS02225	SP70585_RS02520	T308_RS02140	A66_RS02115	SPAP_RS02250	EL334_RS02360	EL263_RS02360	SPN23F_RS02120	ODS73_RS02600	JN057_RS02325	SPCG_RS02275	SPG_RS02050	HMPREF1038_RS02390	EL271_RS02100	SPNHU15_RS02425	SPNHU17_RS02355	INV104_RS02210	SPNINV200_RS02135	SPJ_RS02155	MDRSPN_RS02130	AT689_RS00315	DQM66_RS02175	EL277_RS02275	SPNOXC_RS02310	SPP_RS02345	SPR_RS02045	BMJ42_RS02820	SPN032672_RS08465	SPN034156_RS08225	SPN034183_RS02320	SPN994038_RS02245	SPN994039_RS02240	SPNA45_RS09040	MYY_RS02610	SPT_RS02400	HMPREF0837_RS03570	CXP32_RS02235
PNEUPAN001289000	SPD_RS02180	SPV_RS02180	EF3030_RS02170	SPH_RS02675	SP_RS02185	SP670_RS02595	HKM25_RS02230	SP70585_RS02525	T308_RS02145	A66_RS02120	SPAP_RS02255	EL334_RS02365	EL263_RS02365	SPN23F_RS02125	ODS73_RS02605	JN057_RS02330	SPCG_RS02280	SPG_RS02055	HMPREF1038_RS02395	EL271_RS02105	SPNHU15_RS02430	SPNHU17_RS02360	INV104_RS02215	SPNINV200_RS02140	SPJ_RS02160	MDRSPN_RS02135	AT689_RS00310	DQM66_RS02180	EL277_RS02280	SPNOXC_RS02315	SPP_RS02350	SPR_RS02050	BMJ42_RS02825	SPN032672_RS08470	SPN034156_RS08230	SPN034183_RS02325	SPN994038_RS02250	SPN994039_RS02245	SPNA45_RS09035	MYY_RS02615	SPT_RS02405	HMPREF0837_RS03575	CXP32_RS02240
PNEUPAN001290000			EF3030_RS02240		SP_RS04090		HKM25_RS02235					EL334_RS02370		SPN23F_RS03530	ODS73_RS05115	JN057_RS03920	SPCG_RS02355	SPG_RS02060	HMPREF1038_RS11555					SPNINV200_RS02215	SPJ_RS12195				EL277_RS04190		SPP_RS11845								SPNA45_RS11345				CXP32_RS04155
PNEUPAN001291000	SPD_RS02185	SPV_RS02185	EF3030_RS02175	SPH_RS02680	SP_RS02190	SP670_RS02600	HKM25_RS02240	SP70585_RS02530	T308_RS02150	A66_RS02125	SPAP_RS02260	EL334_RS02375	EL263_RS02370	SPN23F_RS02130	ODS73_RS02610	JN057_RS02335	SPCG_RS02285	SPG_RS02065	HMPREF1038_RS02400	EL271_RS02110	SPNHU15_RS02435	SPNHU17_RS02365	INV104_RS02220	SPNINV200_RS02145	SPJ_RS02165	MDRSPN_RS02140	AT689_RS00305	DQM66_RS02185	EL277_RS02285	SPNOXC_RS02320	SPP_RS02355	SPR_RS02055	BMJ42_RS02830	SPN032672_RS08475	SPN034156_RS08235	SPN034183_RS02330	SPN994038_RS02255	SPN994039_RS02250	SPNA45_RS09030	MYY_RS02620	SPT_RS02410	HMPREF0837_RS03580	CXP32_RS02245
PNEUPAN001292000	SPD_RS02190	SPV_RS02190	EF3030_RS02180	SPH_RS02685	SP_RS02195	SP670_RS02605	HKM25_RS02245	SP70585_RS02535	T308_RS02155	A66_RS02130	SPAP_RS02265	EL334_RS02380	EL263_RS02375	SPN23F_RS02135	ODS73_RS02615	JN057_RS02340	SPCG_RS02290	SPG_RS02070	HMPREF1038_RS02405	EL271_RS02115	SPNHU15_RS02440	SPNHU17_RS02370	INV104_RS02225	SPNINV200_RS02150	SPJ_RS02170	MDRSPN_RS02145	AT689_RS00300	DQM66_RS02190	EL277_RS02290	SPNOXC_RS02325	SPP_RS02360	SPR_RS02060	BMJ42_RS02835	SPN032672_RS08480	SPN034156_RS08240	SPN034183_RS02335	SPN994038_RS02260	SPN994039_RS02255	SPNA45_RS09025	MYY_RS02625	SPT_RS02415	HMPREF0837_RS03585	CXP32_RS02250
PNEUPAN001293000	SPD_RS02195	SPV_RS02195	EF3030_RS02185	SPH_RS02690	SP_RS02200	SP670_RS02610	HKM25_RS02250	SP70585_RS02540	T308_RS02160	A66_RS02135	SPAP_RS02270	EL334_RS02385	EL263_RS02380	SPN23F_RS02140	ODS73_RS02620	JN057_RS02345	SPCG_RS02295	SPG_RS02075	HMPREF1038_RS02410	EL271_RS02120	SPNHU15_RS02445	SPNHU17_RS02375	INV104_RS02230	SPNINV200_RS02155	SPJ_RS02175	MDRSPN_RS02150	AT689_RS00295	DQM66_RS02195	EL277_RS02295	SPNOXC_RS02330	SPP_RS02365	SPR_RS02065	BMJ42_RS02840	SPN032672_RS08485	SPN034156_RS08245	SPN034183_RS02340	SPN994038_RS02265	SPN994039_RS02260	SPNA45_RS09020	MYY_RS02630	SPT_RS02420	HMPREF0837_RS03590	CXP32_RS02255
PNEUPAN001294000	SPD_RS02200	SPV_RS02200	EF3030_RS02190	SPH_RS02695	SP_RS02205	SP670_RS02615	HKM25_RS02255	SP70585_RS02545	T308_RS02165	A66_RS02140	SPAP_RS02275	EL334_RS02390	EL263_RS02385	SPN23F_RS02145	ODS73_RS02625	JN057_RS02350	SPCG_RS02300	SPG_RS02080	HMPREF1038_RS02415	EL271_RS02125	SPNHU15_RS02450	SPNHU17_RS02380	INV104_RS02235	SPNINV200_RS02160	SPJ_RS02180	MDRSPN_RS02155	AT689_RS00290	DQM66_RS02200	EL277_RS02300	SPNOXC_RS02335	SPP_RS02370	SPR_RS02070	BMJ42_RS02845	SPN032672_RS08490	SPN034156_RS08250	SPN034183_RS02345	SPN994038_RS02270	SPN994039_RS02265	SPNA45_RS09015	MYY_RS02635	SPT_RS02425	HMPREF0837_RS03595	CXP32_RS02260
PNEUPAN001295000													EL263_RS02390		ODS73_RS02630																												
PNEUPAN001296000	SPD_RS02205	SPV_RS02205	EF3030_RS02195	SPH_RS02700	SP_RS02210	SP670_RS02620	HKM25_RS02260	SP70585_RS02550	T308_RS02170	A66_RS02145	SPAP_RS02280	EL334_RS02395		SPN23F_RS02150		JN057_RS02355	SPCG_RS02305	SPG_RS02085	HMPREF1038_RS02420	EL271_RS02130	SPNHU15_RS02455	SPNHU17_RS02385	INV104_RS02240	SPNINV200_RS02165	SPJ_RS02185	MDRSPN_RS02160	AT689_RS00285	DQM66_RS02205	EL277_RS02305	SPNOXC_RS02340	SPP_RS02375	SPR_RS02075	BMJ42_RS02850	SPN032672_RS08495	SPN034156_RS08255	SPN034183_RS02350	SPN994038_RS02275	SPN994039_RS02270	SPNA45_RS09010	MYY_RS02640	SPT_RS02430	HMPREF0837_RS03600	CXP32_RS02265
PNEUPAN001297000	SPD_RS02210	SPV_RS02210	EF3030_RS02200	SPH_RS02705	SP_RS02215	SP670_RS02625	HKM25_RS02265	SP70585_RS02555	T308_RS02175	A66_RS02150	SPAP_RS02285	EL334_RS02400	EL263_RS02395	SPN23F_RS02155	ODS73_RS02635	JN057_RS02360	SPCG_RS02310	SPG_RS02090	HMPREF1038_RS02425	EL271_RS02135	SPNHU15_RS02460	SPNHU17_RS02390	INV104_RS02245	SPNINV200_RS02170	SPJ_RS02190	MDRSPN_RS02165	AT689_RS00280	DQM66_RS02210	EL277_RS02310	SPNOXC_RS02345	SPP_RS02380	SPR_RS02080	BMJ42_RS02855	SPN032672_RS08500	SPN034156_RS08260	SPN034183_RS02355	SPN994038_RS02280	SPN994039_RS02275	SPNA45_RS09005	MYY_RS02645	SPT_RS02435	HMPREF0837_RS03605	CXP32_RS02270
PNEUPAN001298000	SPD_RS02220	SPV_RS02220	EF3030_RS02210	SPH_RS02710	SP_RS02220	SP670_RS02630	HKM25_RS02270	SP70585_RS02560	T308_RS02180	A66_RS02155	SPAP_RS02290	EL334_RS02410	EL263_RS02405	SPN23F_RS02160	ODS73_RS02640	JN057_RS02365	SPCG_RS02315	SPG_RS02095	HMPREF1038_RS02430	EL271_RS02145	SPNHU15_RS02465	SPNHU17_RS02395	INV104_RS02250	SPNINV200_RS02175	SPJ_RS02195	MDRSPN_RS02175	AT689_RS00275	DQM66_RS02220	EL277_RS02320	SPNOXC_RS02350	SPP_RS02385	SPR_RS02085	BMJ42_RS02865	SPN032672_RS08505	SPN034156_RS08265	SPN034183_RS02360	SPN994038_RS02285	SPN994039_RS02280	SPNA45_RS09000	MYY_RS02650	SPT_RS02440	HMPREF0837_RS03610	CXP32_RS02280
PNEUPAN001299000	SPD_RS02225	SPV_RS02225	EF3030_RS02215	SPH_RS02715	SP_RS02225	SP670_RS02635	HKM25_RS02275	SP70585_RS02565	T308_RS02185	A66_RS02160	SPAP_RS02295	EL334_RS02415	EL263_RS02410	SPN23F_RS02165	ODS73_RS02645	JN057_RS02370	SPCG_RS02320	SPG_RS02100	HMPREF1038_RS02435	EL271_RS02150	SPNHU15_RS02470	SPNHU17_RS02400	INV104_RS02255	SPNINV200_RS02180	SPJ_RS02200	MDRSPN_RS02180	AT689_RS00270	DQM66_RS02225	EL277_RS02325	SPNOXC_RS02355	SPP_RS02390	SPR_RS02090	BMJ42_RS02870	SPN032672_RS08510	SPN034156_RS08270	SPN034183_RS02365	SPN994038_RS02290	SPN994039_RS02285	SPNA45_RS08995	MYY_RS02655	SPT_RS02445	HMPREF0837_RS03615	CXP32_RS02285
PNEUPAN001300000	SPD_RS02230	SPV_RS02230	EF3030_RS02220	SPH_RS02720	SP_RS02230	SP670_RS02640	HKM25_RS02280	SP70585_RS02570	T308_RS02190	A66_RS02165	SPAP_RS02300	EL334_RS02420	EL263_RS02415	SPN23F_RS02170	ODS73_RS02650	JN057_RS02375	SPCG_RS02325	SPG_RS02105	HMPREF1038_RS02440	EL271_RS02155	SPNHU15_RS02475	SPNHU17_RS02405	INV104_RS02260	SPNINV200_RS02185	SPJ_RS02205	MDRSPN_RS02185	AT689_RS00265	DQM66_RS02230	EL277_RS02330	SPNOXC_RS02360	SPP_RS02395	SPR_RS02095	BMJ42_RS02875	SPN032672_RS08515	SPN034156_RS08275	SPN034183_RS02370	SPN994038_RS02295	SPN994039_RS02290	SPNA45_RS08990	MYY_RS02660	SPT_RS02450	HMPREF0837_RS03620	CXP32_RS02290
PNEUPAN001301000	SPD_RS02235	SPV_RS02235	EF3030_RS02225	SPH_RS02725	SP_RS02235	SP670_RS02645	HKM25_RS02285	SP70585_RS02575	T308_RS02195	A66_RS02170	SPAP_RS02305	EL334_RS02425	EL263_RS02420	SPN23F_RS02175	ODS73_RS02655	JN057_RS02380	SPCG_RS02330	SPG_RS02110	HMPREF1038_RS02445	EL271_RS02160	SPNHU15_RS02480	SPNHU17_RS02410	INV104_RS02265	SPNINV200_RS02190	SPJ_RS02210	MDRSPN_RS02190	AT689_RS00260	DQM66_RS02235	EL277_RS02335	SPNOXC_RS02365	SPP_RS02400	SPR_RS02100	BMJ42_RS02880	SPN032672_RS08520	SPN034156_RS08280	SPN034183_RS02375	SPN994038_RS02300	SPN994039_RS02295	SPNA45_RS08985	MYY_RS02665	SPT_RS02455	HMPREF0837_RS03625	CXP32_RS02295
PNEUPAN001302000	SPD_RS11985	SPV_RS12015	EF3030_RS12000	SPH_RS12240	SP_RS11755	SP670_RS14575	HKM25_RS02290	SP70585_RS14240	T308_RS13485	A66_RS10730	SPAP_RS11675	EL334_RS12565	EL263_RS02425	SPN23F_RS02185	ODS73_RS12035	JN057_RS11635	SPCG_RS14095	SPG_RS11230	HMPREF1038_RS13480	EL271_RS12030	SPNHU15_RS02485	SPNHU17_RS02415	INV104_RS02275	SPNINV200_RS13435	SPJ_RS02220	MDRSPN_RS11560		DQM66_RS11780	EL277_RS02340	SPNOXC_RS11305	SPP_RS13795	SPR_RS11060	BMJ42_RS13710	SPN032672_RS08530	SPN034156_RS13260	SPN034183_RS11320	SPN994038_RS11210	SPN994039_RS11215		MYY_RS13625	SPT_RS13300	HMPREF0837_RS13270	CXP32_RS02300
PNEUPAN001303000	SPD_RS04345	SPV_RS04335	EF3030_RS11670		SP_RS13370						SPAP_RS04705			SPN23F_RS04285	ODS73_RS04755	JN057_RS04395		SPG_RS04255	HMPREF1038_RS04610	EL271_RS04285							AT689_RS13620	DQM66_RS04345			SPP_RS04555	SPR_RS04105	BMJ42_RS05165	SPN032672_RS12570	SPN034156_RS10380				SPNA45_RS12655				CXP32_RS12310
PNEUPAN001304000					SP_RS12990				T308_RS12885									SPG_RS12490							SPJ_RS12985															MYY_RS13045	SPT_RS12795	HMPREF0837_RS12710	CXP32_RS11960
PNEUPAN001305000	SPD_RS02245	SPV_RS02245	EF3030_RS02235	SPH_RS02745	SP_RS02255	SP670_RS02665	HKM25_RS02295	SP70585_RS02595	T308_RS02215	A66_RS02190	SPAP_RS02325	EL334_RS02435	EL263_RS02430	SPN23F_RS02190	ODS73_RS02670	JN057_RS02390	SPCG_RS02350	SPG_RS02130	HMPREF1038_RS02465	EL271_RS02170	SPNHU15_RS02490	SPNHU17_RS02420	INV104_RS02280	SPNINV200_RS02210	SPJ_RS02225	MDRSPN_RS02200	AT689_RS00240	DQM66_RS02245	EL277_RS02345	SPNOXC_RS02385	SPP_RS02420	SPR_RS02110	BMJ42_RS02890	SPN032672_RS08535	SPN034156_RS08300	SPN034183_RS02395	SPN994038_RS02320	SPN994039_RS02315	SPNA45_RS08965	MYY_RS02685	SPT_RS02475	HMPREF0837_RS03645	CXP32_RS02305
PNEUPAN001306000	SPD_RS02250	SPV_RS02250	EF3030_RS02250	SPH_RS02750	SP_RS02260	SP670_RS02670	HKM25_RS02300	SP70585_RS02600	T308_RS02220	A66_RS02195	SPAP_RS02330	EL334_RS02440	EL263_RS02435	SPN23F_RS02195	ODS73_RS02675	JN057_RS02395	SPCG_RS02365	SPG_RS02135	HMPREF1038_RS02470	EL271_RS02175	SPNHU15_RS02495	SPNHU17_RS02425	INV104_RS02285	SPNINV200_RS02225	SPJ_RS02230	MDRSPN_RS02205	AT689_RS00235	DQM66_RS02250	EL277_RS02350	SPNOXC_RS02390	SPP_RS02425	SPR_RS02115	BMJ42_RS02900	SPN032672_RS08540	SPN034156_RS08305	SPN034183_RS02400	SPN994038_RS02325	SPN994039_RS02320	SPNA45_RS08960	MYY_RS02690	SPT_RS02480	HMPREF0837_RS03650	CXP32_RS02310
PNEUPAN001307000	SPD_RS11860	SPV_RS11885		SPH_RS14185		SP670_RS14455		SP70585_RS14120		A66_RS12730						JN057_RS11525			HMPREF1038_RS13380						SPJ_RS13530		AT689_RS13160	DQM66_RS11655			SPP_RS13690	SPR_RS10950	BMJ42_RS13595						SPNA45_RS14415				
PNEUPAN001308000													EL263_RS02445																														
PNEUPAN001309000													EL263_RS02450																														
PNEUPAN001310000													EL263_RS02455																														
PNEUPAN001311000	SPD_RS02255	SPV_RS02255	EF3030_RS02260	SPH_RS02755	SP_RS02265	SP670_RS02675	HKM25_RS02305	SP70585_RS02605	T308_RS02225	A66_RS02200	SPAP_RS02335	EL334_RS02450	EL263_RS02460	SPN23F_RS02200	ODS73_RS02680	JN057_RS02400	SPCG_RS02370	SPG_RS02140	HMPREF1038_RS02475	EL271_RS02185	SPNHU15_RS02500	SPNHU17_RS02430	INV104_RS02290	SPNINV200_RS02230	SPJ_RS02235	MDRSPN_RS02215	AT689_RS00230	DQM66_RS02255	EL277_RS02360	SPNOXC_RS02395	SPP_RS02430	SPR_RS02120	BMJ42_RS02905	SPN032672_RS08545	SPN034156_RS08310	SPN034183_RS02405	SPN994038_RS02330	SPN994039_RS02325	SPNA45_RS08955	MYY_RS02695	SPT_RS02485	HMPREF0837_RS03655	CXP32_RS02320
PNEUPAN001312000				SPH_RS02760	SP_RS02270	SP670_RS02680			T308_RS02230						ODS73_RS02685						SPNHU15_RS02505	SPNHU17_RS02435							EL277_RS02365											MYY_RS02700	SPT_RS02490	HMPREF0837_RS03660	CXP32_RS02325
PNEUPAN001313000	SPD_RS02260	SPV_RS02260	EF3030_RS02265				HKM25_RS02310			A66_RS02210	SPAP_RS02340		EL263_RS02465	SPN23F_RS02205		JN057_RS02405	SPCG_RS02375	SPG_RS02145	HMPREF1038_RS02480	EL271_RS02190			INV104_RS02305	SPNINV200_RS02235	SPJ_RS02240		AT689_RS00225	DQM66_RS02260			SPP_RS02435	SPR_RS02125	BMJ42_RS02915	SPN032672_RS08550	SPN034156_RS08315				SPNA45_RS08950				
PNEUPAN001314000				SPH_RS13485	SP_RS12665	SP670_RS13785	HKM25_RS02315	SP70585_RS02610	T308_RS12815	A66_RS02215		EL334_RS02455	EL263_RS02470		ODS73_RS02730						SPNHU15_RS02545								EL277_RS11865	SPNOXC_RS02400			BMJ42_RS02920			SPN034183_RS02410	SPN994038_RS02335	SPN994039_RS02330	SPNA45_RS08945	MYY_RS12970	SPT_RS12730	HMPREF0837_RS12635	CXP32_RS11965
PNEUPAN001315000																																							SPNA45_RS11335				
PNEUPAN001316000																																							SPNA45_RS11340				
PNEUPAN001317000				SPH_RS02770	SP_RS02280	SP670_RS02690			T308_RS02240						ODS73_RS02695						SPNHU15_RS02515	SPNHU17_RS02445							EL277_RS02380											MYY_RS02710	SPT_RS02500	HMPREF0837_RS03670	CXP32_RS02340
PNEUPAN001318000				SPH_RS02765	SP_RS02275	SP670_RS02685			T308_RS02235						ODS73_RS02690						SPNHU15_RS02510	SPNHU17_RS02440							EL277_RS02370											MYY_RS02705	SPT_RS02495	HMPREF0837_RS03665	CXP32_RS02330
PNEUPAN001319000				SPH_RS02775	SP_RS02285	SP670_RS02695			T308_RS02245						ODS73_RS02700						SPNHU15_RS02520	SPNHU17_RS02450							EL277_RS02385											MYY_RS02715	SPT_RS02505	HMPREF0837_RS03675	CXP32_RS02345
PNEUPAN001320000				SPH_RS02780	SP_RS02290	SP670_RS02700			T308_RS02250						ODS73_RS02705						SPNHU15_RS02525	SPNHU17_RS02455							EL277_RS02395											MYY_RS02720	SPT_RS02510	HMPREF0837_RS03680	CXP32_RS02355
PNEUPAN001321000				SPH_RS02785	SP_RS02295	SP670_RS02705			T308_RS02255						ODS73_RS02710						SPNHU15_RS02530	SPNHU17_RS02460							EL277_RS02400											MYY_RS02725	SPT_RS02515	HMPREF0837_RS03685	CXP32_RS02360
PNEUPAN001322000				SPH_RS02790	SP_RS02300	SP670_RS02710			T308_RS02260						ODS73_RS02715						SPNHU15_RS02535	SPNHU17_RS02465							EL277_RS02405											MYY_RS02730	SPT_RS02520	HMPREF0837_RS03690	CXP32_RS02365
PNEUPAN001323000				SPH_RS02795	SP_RS02305	SP670_RS02715			T308_RS02265						ODS73_RS02720						SPNHU15_RS02540	SPNHU17_RS02470							EL277_RS02410											MYY_RS02735	SPT_RS02525	HMPREF0837_RS03695	CXP32_RS02370
PNEUPAN001324000	SPD_RS08960	SPV_RS08955						SP70585_RS14030	T308_RS12235	A66_RS11680									HMPREF1038_RS13270	EL271_RS11830			INV104_RS13840					DQM66_RS08955				SPR_RS08535		SPN032672_RS13615	SPN034156_RS12730								
PNEUPAN001325000	SPD_RS08750	SPV_RS08745	EF3030_RS08570	SPH_RS12260	SP_RS11780	SP670_RS12445			T308_RS12240			EL334_RS08380		SPN23F_RS12620	ODS73_RS02725													DQM66_RS08745	EL277_RS02415			SPR_RS08335							SPNA45_RS12050	MYY_RS11720	SPT_RS11580	HMPREF0837_RS11515	CXP32_RS02375
PNEUPAN001326000								SP70585_RS13195	T308_RS13070																																		
PNEUPAN001327000	SPD_RS02270	SPV_RS02270	EF3030_RS02275	SPH_RS02815	SP_RS02320	SP670_RS02730	HKM25_RS02320	SP70585_RS02615	T308_RS02290	A66_RS11580	SPAP_RS02350	EL334_RS02460	EL263_RS02475	SPN23F_RS02215	ODS73_RS02735	JN057_RS02415	SPCG_RS02385	SPG_RS02155	HMPREF1038_RS02490	EL271_RS02200	SPNHU15_RS02550	SPNHU17_RS02480	INV104_RS02315	SPNINV200_RS02245	SPJ_RS02250		AT689_RS00215	DQM66_RS02270	EL277_RS02420	SPNOXC_RS02405	SPP_RS02445	SPR_RS02135	BMJ42_RS02925	SPN032672_RS08560	SPN034156_RS08325	SPN034183_RS02415	SPN994038_RS02340	SPN994039_RS02335	SPNA45_RS08940	MYY_RS02755	SPT_RS02545	HMPREF0837_RS03710	CXP32_RS02380
PNEUPAN001328000								SP70585_RS13080								JN057_RS02420			HMPREF1038_RS12300				INV104_RS12665				AT689_RS12285			SPNOXC_RS12150							SPN994038_RS12045	SPN994039_RS12050					
PNEUPAN001329000			EF3030_RS02285							A66_RS02240			EL263_RS02485	SPN23F_RS13770	ODS73_RS02740		SPCG_RS13665							SPNINV200_RS02260	SPJ_RS13235					SPNOXC_RS12980			BMJ42_RS13210			SPN034183_RS12965	SPN994038_RS12880	SPN994039_RS12885	SPNA45_RS08925				
PNEUPAN001330000	SPD_RS02285	SPV_RS02280		SPH_RS02830	SP_RS02335	SP670_RS02745	HKM25_RS02330	SP70585_RS02630	T308_RS02305		SPAP_RS02365	EL334_RS02470				JN057_RS02425		SPG_RS02170	HMPREF1038_RS02505	EL271_RS02220	SPNHU15_RS02555	SPNHU17_RS02485	INV104_RS02330				AT689_RS00195	DQM66_RS02285	EL277_RS02430		SPP_RS02460	SPR_RS02145		SPN032672_RS08575	SPN034156_RS08340					MYY_RS02770	SPT_RS02560	HMPREF0837_RS03725	CXP32_RS02390
PNEUPAN001331000	SPD_RS02290	SPV_RS02285		SPH_RS02835	SP_RS02340	SP670_RS02750	HKM25_RS02335	SP70585_RS02635	T308_RS02310		SPAP_RS02370	EL334_RS02475				JN057_RS02430		SPG_RS02175	HMPREF1038_RS02510	EL271_RS02225	SPNHU15_RS02560	SPNHU17_RS02490	INV104_RS02335				AT689_RS00190	DQM66_RS02290	EL277_RS02435		SPP_RS02465	SPR_RS02150		SPN032672_RS08580	SPN034156_RS08345					MYY_RS02775	SPT_RS02565	HMPREF0837_RS03730	CXP32_RS02395
PNEUPAN001332000	SPD_RS02295	SPV_RS02290		SPH_RS02840	SP_RS02345	SP670_RS02755	HKM25_RS02340	SP70585_RS02640	T308_RS02315		SPAP_RS02375	EL334_RS02480				JN057_RS02435		SPG_RS02185	HMPREF1038_RS02515	EL271_RS02230	SPNHU15_RS02565	SPNHU17_RS02495	INV104_RS02340				AT689_RS00185	DQM66_RS02295	EL277_RS02440		SPP_RS02470	SPR_RS02155		SPN032672_RS08585	SPN034156_RS08350					MYY_RS02780	SPT_RS02570	HMPREF0837_RS03735	CXP32_RS02400
PNEUPAN001333000	SPD_RS02300	SPV_RS02295		SPH_RS02845	SP_RS02350	SP670_RS02760	HKM25_RS02345	SP70585_RS02645	T308_RS02320		SPAP_RS02380	EL334_RS02485				JN057_RS02440		SPG_RS02190	HMPREF1038_RS02520	EL271_RS02235	SPNHU15_RS02570	SPNHU17_RS02500	INV104_RS02345				AT689_RS00180	DQM66_RS02300	EL277_RS02445		SPP_RS02475	SPR_RS02160		SPN032672_RS08590	SPN034156_RS08355					MYY_RS02785	SPT_RS02575	HMPREF0837_RS03740	CXP32_RS02405
PNEUPAN001334000	SPD_RS02305	SPV_RS02300		SPH_RS02850	SP_RS02355	SP670_RS02765	HKM25_RS02350	SP70585_RS02650	T308_RS02325		SPAP_RS02385	EL334_RS02490				JN057_RS02445		SPG_RS02195	HMPREF1038_RS02525	EL271_RS02240	SPNHU15_RS02575	SPNHU17_RS02505	INV104_RS02350				AT689_RS00175	DQM66_RS02305	EL277_RS02450		SPP_RS02480	SPR_RS02165		SPN032672_RS08595	SPN034156_RS08360					MYY_RS02790	SPT_RS02580	HMPREF0837_RS03745	CXP32_RS02410
PNEUPAN001335000	SPD_RS02310	SPV_RS02305		SPH_RS02855	SP_RS02360	SP670_RS02770	HKM25_RS02355	SP70585_RS02655	T308_RS02330		SPAP_RS02390	EL334_RS02495				JN057_RS02450		SPG_RS02200	HMPREF1038_RS02530	EL271_RS02245	SPNHU15_RS02580	SPNHU17_RS02510	INV104_RS02355				AT689_RS00170	DQM66_RS02310	EL277_RS02455		SPP_RS02485	SPR_RS02170		SPN032672_RS08600	SPN034156_RS08365					MYY_RS02795	SPT_RS02585	HMPREF0837_RS03750	CXP32_RS02415
PNEUPAN001336000	SPD_RS02315	SPV_RS02310	EF3030_RS02290	SPH_RS02860	SP_RS02365	SP670_RS02775	HKM25_RS02360	SP70585_RS02660	T308_RS02335	A66_RS02245	SPAP_RS02395	EL334_RS02500	EL263_RS02490	SPN23F_RS02240	ODS73_RS02745	JN057_RS02455	SPCG_RS02410	SPG_RS02205	HMPREF1038_RS02535	EL271_RS02250	SPNHU15_RS02585	SPNHU17_RS02515	INV104_RS02360	SPNINV200_RS02265	SPJ_RS02275	MDRSPN_RS02220	AT689_RS00165	DQM66_RS02315	EL277_RS02460	SPNOXC_RS02430	SPP_RS02490	SPR_RS02175	BMJ42_RS02945	SPN032672_RS08605	SPN034156_RS08370	SPN034183_RS02440	SPN994038_RS02365	SPN994039_RS02360	SPNA45_RS08920	MYY_RS02800	SPT_RS02590	HMPREF0837_RS03755	CXP32_RS02420
PNEUPAN001337000	SPD_RS02320	SPV_RS02315	EF3030_RS02295	SPH_RS02865	SP_RS02370	SP670_RS02780	HKM25_RS02365	SP70585_RS02665	T308_RS02340	A66_RS02250	SPAP_RS02400	EL334_RS02505	EL263_RS02495	SPN23F_RS02245	ODS73_RS02750	JN057_RS02460	SPCG_RS02415	SPG_RS02210	HMPREF1038_RS02540	EL271_RS02255	SPNHU15_RS02590	SPNHU17_RS02520	INV104_RS02365	SPNINV200_RS02270	SPJ_RS02280	MDRSPN_RS02225	AT689_RS00160	DQM66_RS02320	EL277_RS02465	SPNOXC_RS02435	SPP_RS02495	SPR_RS02180	BMJ42_RS02950	SPN032672_RS08610	SPN034156_RS08375	SPN034183_RS02445	SPN994038_RS02370	SPN994039_RS02365	SPNA45_RS08915	MYY_RS02805	SPT_RS02595	HMPREF0837_RS03760	CXP32_RS02425
PNEUPAN001338000	SPD_RS02325	SPV_RS02320	EF3030_RS02300	SPH_RS02870	SP_RS02375	SP670_RS02785	HKM25_RS02370	SP70585_RS02670	T308_RS02345	A66_RS02255	SPAP_RS02405	EL334_RS02510	EL263_RS02500	SPN23F_RS02250	ODS73_RS02755	JN057_RS02465	SPCG_RS02420	SPG_RS02215	HMPREF1038_RS02545	EL271_RS02260	SPNHU15_RS02595	SPNHU17_RS02525	INV104_RS02370	SPNINV200_RS02275	SPJ_RS02285	MDRSPN_RS02230	AT689_RS00155	DQM66_RS02325	EL277_RS02470	SPNOXC_RS02440	SPP_RS02500	SPR_RS02185	BMJ42_RS02955	SPN032672_RS08615	SPN034156_RS08380	SPN034183_RS02450	SPN994038_RS02375	SPN994039_RS02370	SPNA45_RS08910	MYY_RS02810	SPT_RS02600	HMPREF0837_RS03765	CXP32_RS02430
